iter	Passed	Remaining
0	10	10494
1	16	8261
2	20	6965
3	26	6595
4	30	6111
5	34	5755
6	37	5321
7	40	4972
8	43	4806
9	46	4564
10	48	4399
11	51	4259
12	54	4111
13	56	4013
14	60	3983
15	63	3888
16	66	3825
17	69	3768
18	72	3719
19	75	3680
20	77	3635
21	80	3597
22	83	3561
23	86	3522
24	89	3486
25	91	3440
26	94	3397
27	96	3357
28	99	3318
29	101	3284
30	104	3251
31	106	3229
32	109	3209
33	111	3177
34	114	3149
35	116	3122
36	118	3096
37	121	3072
38	123	3049
39	126	3044
40	129	3022
41	131	3001
42	133	2980
43	136	2960
44	138	2941
45	140	2923
46	143	2906
47	145	2890
48	148	2874
49	150	2859
50	152	2842
51	155	2833
52	157	2821
53	160	2813
54	162	2800
55	165	2786
56	167	2771
57	169	2758
58	172	2746
59	174	2734
60	176	2723
61	179	2713
62	181	2703
63	184	2692
64	186	2681
65	188	2671
66	191	2662
67	193	2653
68	195	2643
69	198	2635
70	200	2627
71	203	2618
72	205	2613
73	208	2609
74	210	2601
75	213	2594
76	215	2587
77	218	2578
78	220	2571
79	223	2565
80	226	2565
81	228	2560
82	231	2553
83	233	2542
84	235	2532
85	237	2522
86	239	2516
87	242	2508
88	244	2499
89	246	2491
90	248	2484
91	250	2476
92	253	2470
93	255	2462
94	257	2454
95	259	2447
96	262	2440
97	264	2436
98	272	2476
99	279	2519
100	287	2559
101	294	2597
102	302	2631
103	309	2665
104	316	2697
105	324	2732
106	331	2764
107	338	2799
108	345	2827
109	353	2856
110	360	2885
111	367	2913
112	373	2931
113	378	2940
114	383	2950
115	388	2963
116	393	2970
117	398	2978
118	403	2988
119	407	2989
120	411	2988
121	415	2987
122	418	2985
123	422	2981
124	425	2975
125	427	2968
126	431	2963
127	433	2956
128	436	2950
129	439	2943
130	442	2936
131	445	2930
132	448	2923
133	451	2917
134	454	2911
135	457	2904
136	460	2898
137	463	2892
138	465	2885
139	468	2879
140	471	2873
141	474	2867
142	477	2861
143	480	2857
144	483	2852
145	486	2846
146	489	2841
147	492	2835
148	495	2829
149	498	2823
150	501	2819
151	504	2814
152	507	2809
153	510	2803
154	513	2797
155	516	2792
156	518	2784
157	520	2775
158	523	2767
159	525	2759
160	528	2752
161	530	2744
162	533	2739
163	535	2731
164	538	2723
165	540	2713
166	542	2704
167	544	2696
168	546	2689
169	549	2681
170	552	2676
171	554	2669
172	556	2660
173	558	2651
174	560	2641
175	562	2631
176	563	2621
177	566	2613
178	568	2605
179	569	2596
180	572	2589
181	574	2582
182	576	2575
183	578	2566
184	580	2558
185	582	2551
186	584	2541
187	586	2532
188	588	2524
189	590	2516
190	592	2508
191	594	2501
192	596	2494
193	599	2489
194	601	2482
195	603	2476
196	606	2470
197	608	2464
198	610	2457
199	613	2452
200	615	2447
201	618	2441
202	620	2435
203	622	2429
204	624	2423
205	627	2418
206	629	2412
207	632	2406
208	634	2401
209	636	2395
210	638	2389
211	641	2383
212	643	2377
213	646	2373
214	648	2367
215	650	2361
216	652	2355
217	655	2349
218	657	2343
219	659	2338
220	661	2332
221	663	2326
222	666	2321
223	668	2315
224	670	2310
225	672	2304
226	675	2299
227	677	2294
228	680	2290
229	682	2284
230	684	2279
231	686	2274
232	689	2268
233	691	2263
234	693	2257
235	696	2254
236	698	2249
237	700	2244
238	703	2238
239	705	2233
240	707	2228
241	710	2223
242	712	2219
243	714	2214
244	716	2209
245	719	2204
246	721	2199
247	723	2194
248	726	2190
249	728	2185
250	730	2180
251	732	2175
252	735	2170
253	737	2165
254	739	2160
255	741	2156
256	744	2151
257	746	2146
258	748	2141
259	750	2136
260	752	2131
261	755	2126
262	757	2122
263	759	2118
264	762	2113
265	764	2108
266	766	2104
267	768	2099
268	770	2094
269	773	2090
270	775	2085
271	778	2082
272	780	2077
273	782	2073
274	784	2068
275	787	2064
276	789	2060
277	791	2055
278	793	2051
279	796	2047
280	798	2042
281	800	2038
282	802	2033
283	804	2029
284	807	2024
285	809	2020
286	811	2015
287	813	2011
288	815	2007
289	818	2002
290	820	1998
291	822	1994
292	824	1990
293	827	1986
294	829	1982
295	831	1977
296	833	1973
297	836	1969
298	838	1965
299	840	1961
300	842	1956
301	844	1952
302	847	1948
303	849	1944
304	851	1940
305	853	1936
306	856	1932
307	858	1928
308	860	1924
309	862	1920
310	865	1916
311	867	1912
312	869	1908
313	871	1904
314	874	1901
315	876	1897
316	878	1893
317	881	1889
318	883	1885
319	885	1881
320	887	1877
321	889	1873
322	892	1870
323	894	1866
324	896	1862
325	899	1859
326	901	1855
327	903	1851
328	905	1847
329	908	1843
330	910	1839
331	912	1836
332	914	1832
333	916	1828
334	919	1824
335	921	1820
336	923	1817
337	925	1813
338	928	1809
339	930	1806
340	932	1802
341	934	1798
342	936	1794
343	938	1790
344	941	1787
345	943	1783
346	945	1780
347	948	1776
348	950	1772
349	952	1769
350	954	1765
351	957	1761
352	959	1758
353	961	1754
354	964	1751
355	966	1747
356	968	1743
357	970	1740
358	973	1737
359	975	1733
360	977	1729
361	979	1726
362	981	1722
363	983	1718
364	985	1714
365	987	1711
366	990	1707
367	992	1704
368	994	1701
369	997	1697
370	999	1694
371	1001	1690
372	1003	1687
373	1005	1683
374	1008	1680
375	1010	1676
376	1012	1672
377	1014	1669
378	1016	1665
379	1019	1662
380	1021	1659
381	1024	1657
382	1026	1654
383	1028	1650
384	1031	1646
385	1034	1645
386	1036	1642
387	1038	1638
388	1040	1634
389	1042	1629
390	1044	1626
391	1046	1622
392	1048	1618
393	1049	1614
394	1051	1610
395	1053	1606
396	1055	1602
397	1056	1598
398	1058	1594
399	1060	1590
400	1062	1587
401	1064	1583
402	1066	1580
403	1069	1577
404	1071	1574
405	1073	1571
406	1076	1568
407	1078	1565
408	1081	1562
409	1083	1558
410	1085	1555
411	1087	1552
412	1089	1548
413	1091	1545
414	1094	1543
415	1096	1539
416	1099	1536
417	1101	1533
418	1103	1530
419	1105	1527
420	1108	1523
421	1110	1520
422	1112	1517
423	1115	1514
424	1117	1512
425	1119	1509
426	1122	1506
427	1124	1503
428	1127	1500
429	1129	1497
430	1131	1493
431	1133	1490
432	1135	1486
433	1137	1483
434	1139	1480
435	1141	1477
436	1143	1473
437	1145	1470
438	1148	1467
439	1150	1464
440	1152	1460
441	1154	1457
442	1156	1453
443	1158	1450
444	1160	1447
445	1163	1445
446	1166	1443
447	1169	1440
448	1171	1437
449	1173	1433
450	1175	1430
451	1177	1427
452	1179	1424
453	1181	1421
454	1183	1417
455	1185	1414
456	1187	1411
457	1189	1407
458	1191	1404
459	1193	1401
460	1195	1398
461	1198	1395
462	1200	1392
463	1202	1389
464	1204	1386
465	1207	1383
466	1209	1380
467	1211	1376
468	1213	1373
469	1215	1370
470	1217	1367
471	1219	1364
472	1221	1361
473	1223	1357
474	1225	1354
475	1228	1351
476	1230	1348
477	1231	1345
478	1234	1342
479	1236	1339
480	1238	1336
481	1240	1333
482	1242	1329
483	1244	1326
484	1246	1323
485	1248	1320
486	1250	1316
487	1252	1314
488	1254	1311
489	1256	1308
490	1258	1304
491	1260	1301
492	1262	1298
493	1264	1295
494	1266	1292
495	1268	1289
496	1270	1286
497	1272	1282
498	1274	1279
499	1276	1276
500	1278	1273
501	1280	1270
502	1282	1266
503	1284	1264
504	1287	1261
505	1289	1258
506	1291	1255
507	1293	1252
508	1295	1249
509	1297	1246
510	1299	1243
511	1301	1240
512	1303	1237
513	1305	1234
514	1307	1231
515	1309	1228
516	1311	1225
517	1314	1222
518	1316	1220
519	1318	1217
520	1321	1214
521	1323	1211
522	1325	1208
523	1327	1205
524	1329	1202
525	1331	1199
526	1333	1196
527	1335	1193
528	1337	1190
529	1339	1187
530	1341	1184
531	1343	1181
532	1345	1178
533	1347	1175
534	1349	1173
535	1352	1170
536	1354	1167
537	1356	1165
538	1359	1162
539	1360	1159
540	1363	1156
541	1388	1173
542	1390	1170
543	1392	1166
544	1394	1163
545	1397	1162
546	1400	1160
547	1402	1157
548	1404	1153
549	1406	1150
550	1408	1147
551	1409	1144
552	1411	1141
553	1413	1137
554	1415	1134
555	1417	1131
556	1418	1128
557	1420	1125
558	1423	1122
559	1425	1119
560	1427	1117
561	1430	1114
562	1432	1111
563	1434	1109
564	1437	1106
565	1439	1103
566	1441	1100
567	1443	1098
568	1446	1095
569	1448	1092
570	1450	1090
571	1453	1087
572	1455	1084
573	1457	1081
574	1460	1079
575	1462	1076
576	1464	1073
577	1467	1071
578	1469	1068
579	1471	1065
580	1474	1063
581	1476	1060
582	1478	1057
583	1481	1055
584	1483	1052
585	1486	1049
586	1488	1047
587	1490	1044
588	1492	1041
589	1495	1038
590	1497	1036
591	1500	1034
592	1503	1031
593	1505	1028
594	1507	1026
595	1510	1024
596	1513	1021
597	1515	1018
598	1517	1016
599	1520	1013
600	1522	1010
601	1525	1008
602	1528	1006
603	1531	1003
604	1533	1001
605	1535	998
606	1538	995
607	1540	993
608	1543	990
609	1545	988
610	1547	985
611	1550	983
612	1553	980
613	1555	978
614	1558	975
615	1560	972
616	1562	970
617	1565	967
618	1566	964
619	1569	961
620	1571	958
621	1573	956
622	1575	953
623	1577	950
624	1579	947
625	1581	944
626	1583	942
627	1585	939
628	1587	936
629	1589	933
630	1591	930
631	1593	928
632	1595	925
633	1597	922
634	1599	919
635	1601	916
636	1603	914
637	1606	911
638	1607	908
639	1609	905
640	1612	902
641	1613	899
642	1615	897
643	1617	894
644	1619	891
645	1621	888
646	1623	885
647	1625	882
648	1627	879
649	1628	877
650	1631	874
651	1632	871
652	1634	868
653	1636	865
654	1638	862
655	1640	860
656	1642	857
657	1644	854
658	1646	851
659	1647	848
660	1650	846
661	1651	843
662	1653	840
663	1655	837
664	1658	835
665	1659	832
666	1661	829
667	1663	826
668	1665	824
669	1667	821
670	1669	818
671	1671	815
672	1673	812
673	1675	810
674	1677	807
675	1679	804
676	1681	802
677	1683	799
678	1684	796
679	1686	793
680	1688	790
681	1690	788
682	1692	785
683	1694	782
684	1695	779
685	1697	777
686	1699	774
687	1701	771
688	1703	768
689	1705	766
690	1706	763
691	1708	760
692	1710	757
693	1712	755
694	1714	752
695	1716	749
696	1718	746
697	1719	744
698	1721	741
699	1723	738
700	1725	736
701	1727	733
702	1729	730
703	1731	727
704	1733	725
705	1734	722
706	1736	719
707	1738	717
708	1740	714
709	1742	711
710	1744	708
711	1746	706
712	1747	703
713	1749	700
714	1751	698
715	1754	695
716	1756	693
717	1758	690
718	1759	687
719	1761	685
720	1763	682
721	1765	679
722	1767	677
723	1769	674
724	1771	671
725	1773	669
726	1775	666
727	1776	663
728	1778	661
729	1780	658
730	1782	656
731	1784	653
732	1786	650
733	1788	648
734	1790	645
735	1791	642
736	1793	640
737	1795	637
738	1797	634
739	1799	632
740	1801	629
741	1803	627
742	1805	624
743	1807	621
744	1809	619
745	1810	616
746	1812	613
747	1814	611
748	1817	608
749	1819	606
750	1821	603
751	1822	601
752	1824	598
753	1827	596
754	1829	593
755	1831	591
756	1832	588
757	1834	585
758	1835	582
759	1837	580
760	1839	577
761	1841	575
762	1843	572
763	1844	569
764	1846	567
765	1847	564
766	1849	561
767	1850	559
768	1852	556
769	1854	553
770	1855	551
771	1858	548
772	1860	546
773	1862	543
774	1864	541
775	1866	538
776	1868	536
777	1870	533
778	1872	531
779	1874	528
780	1876	526
781	1878	523
782	1880	521
783	1882	518
784	1884	516
785	1886	513
786	1888	511
787	1890	508
788	1892	506
789	1894	503
790	1896	501
791	1899	498
792	1901	496
793	1903	493
794	1906	491
795	1909	489
796	1912	487
797	1915	484
798	1919	482
799	1922	480
800	1925	478
801	1927	475
802	1930	473
803	1933	471
804	1936	469
805	1939	466
806	1941	464
807	1944	461
808	1946	459
809	1948	457
810	1951	454
811	1953	452
812	1955	449
813	1957	447
814	1959	444
815	1962	442
816	1964	439
817	1966	437
818	1968	435
819	1971	432
820	1973	430
821	1975	427
822	1977	425
823	1979	422
824	1982	420
825	1984	417
826	1986	415
827	1988	413
828	1990	410
829	1992	408
830	1995	405
831	1997	403
832	1999	400
833	2002	398
834	2004	396
835	2006	393
836	2008	391
837	2010	388
838	2012	386
839	2014	383
840	2016	381
841	2018	378
842	2020	376
843	2022	373
844	2024	371
845	2026	368
846	2028	366
847	2030	363
848	2032	361
849	2033	358
850	2035	356
851	2037	353
852	2039	351
853	2041	348
854	2043	346
855	2045	344
856	2047	341
857	2049	339
858	2051	336
859	2053	334
860	2054	331
861	2056	329
862	2058	326
863	2060	324
864	2062	321
865	2064	319
866	2066	317
